X: 1216.75, Y: 2690.07
X: 1218.05, Y: 2700.22
X: 1218.11, Y: 2701.05
X: 1218.13, Y: 2701.38
X: 1218.14, Y: 2701.57
X: 1218.15, Y: 2701.70
X: 1218.16, Y: 2701.80
X: 1218.16, Y: 2701.88
X: 1218.17, Y: 2701.95
X: 1218.26, Y: 2702.92
X: 1218.22, Y: 2702.80
X: 1218.19, Y: 2702.57
X: 1218.18, Y: 2702.41
X: 1199.08, Y: 2702.83
X: 1187.25, Y: 2703.17
X: 1179.57, Y: 2703.43
X: 1174.42, Y: 2703.63
X: 1170.88, Y: 2703.78
X: 1168.42, Y: 2703.89
X: 1166.72, Y: 2703.98
X: 1165.57, Y: 2704.05
X: 1164.84, Y: 2704.10
X: 1164.44, Y: 2704.14
X: 1164.30, Y: 2704.18
X: 1164.36, Y: 2704.20
X: 1164.60, Y: 2704.22
X: 1164.97, Y: 2704.23
X: 1165.46, Y: 2704.23
X: 1166.04, Y: 2704.23
X: 1172.26, Y: 2705.21
X: 1177.80, Y: 2706.04
X: 1182.71, Y: 2706.72
X: 1187.04, Y: 2707.28
X: 1190.80, Y: 2707.73
X: 1194.05, Y: 2708.06
X: 1196.83, Y: 2708.31
X: 1199.17, Y: 2708.48
X: 1201.11, Y: 2708.59
X: 1202.69, Y: 2708.64
X: 1203.95, Y: 2708.64
X: 1204.94, Y: 2708.61
X: 1205.68, Y: 2708.56
X: 1206.21, Y: 2708.49
X: 1206.57, Y: 2708.40
X: 1196.60, Y: 2706.47
X: 1187.75, Y: 2704.80
X: 1179.97, Y: 2703.39
X: 1173.22, Y: 2702.21
X: 1167.41, Y: 2701.26
X: 1162.49, Y: 2700.50
X: 1158.38, Y: 2699.90
X: 1154.99, Y: 2699.46
X: 1152.25, Y: 2699.14
X: 1150.09, Y: 2698.93
X: 1148.44, Y: 2698.81
X: 1147.22, Y: 2698.76
X: 1146.37, Y: 2698.76
X: 1145.84, Y: 2698.81
X: 1145.58, Y: 2698.88
X: 1145.52, Y: 2698.98
X: 1152.92, Y: 2703.75
X: 1159.53, Y: 2707.90
X: 1164.16, Y: 2710.75
X: 1179.66, Y: 2719.00
X: 1193.23, Y: 2726.08
X: 1204.99, Y: 2732.07
X: 1215.04, Y: 2737.07
X: 1223.53, Y: 2741.16
X: 1230.60, Y: 2744.45
X: 1236.37, Y: 2747.03
X: 1241.00, Y: 2748.97
X: 1244.62, Y: 2750.38
X: 1247.36, Y: 2751.33
X: 1249.33, Y: 2751.90
X: 1250.67, Y: 2752.16
X: 1251.46, Y: 2752.17
X: 1251.80, Y: 2751.98
X: 1251.78, Y: 2751.64
X: 1247.83, Y: 2746.66
X: 1244.11, Y: 2742.19
X: 1240.65, Y: 2738.25
X: 1237.48, Y: 2734.81
X: 1234.60, Y: 2731.85
X: 1232.02, Y: 2729.33
X: 1229.73, Y: 2727.24
X: 1227.72, Y: 2725.51
X: 1225.98, Y: 2724.13
X: 1224.49, Y: 2723.04
X: 1223.22, Y: 2722.20
X: 1222.17, Y: 2721.60
X: 1221.30, Y: 2721.18
X: 1220.61, Y: 2720.92
X: 1220.06, Y: 2720.79
X: 1211.40, Y: 2725.19
X: 1203.87, Y: 2729.11
X: 1197.40, Y: 2732.56
X: 1191.91, Y: 2735.55
X: 1187.30, Y: 2738.13
X: 1183.50, Y: 2740.31
X: 1180.41, Y: 2742.12
X: 1177.96, Y: 2743.61
X: 1176.07, Y: 2744.81
X: 1174.66, Y: 2745.75
X: 1173.66, Y: 2746.47
X: 1173.02, Y: 2747.00
X: 1172.66, Y: 2747.36
X: 1172.55, Y: 2747.58
X: 1172.62, Y: 2747.69
X: 1172.85, Y: 2747.71
X: 1172.14, Y: 2742.37
X: 1171.65, Y: 2737.66
X: 1171.35, Y: 2733.56
X: 1171.21, Y: 2730.04
X: 1171.19, Y: 2727.05
X: 1171.28, Y: 2724.56
X: 1171.45, Y: 2722.51
X: 1171.69, Y: 2720.86
X: 1171.96, Y: 2719.56
X: 1172.26, Y: 2718.56
X: 1172.59, Y: 2717.83
X: 1172.91, Y: 2717.32
X: 1173.24, Y: 2717.00
X: 1173.55, Y: 2716.84
X: 1173.85, Y: 2716.79
X: 1172.06, Y: 2723.30
X: 1170.91, Y: 2728.21
X: 1170.06, Y: 2731.73
X: 1169.41, Y: 2734.38
X: 1168.89, Y: 2736.45
X: 1168.46, Y: 2738.12
X: 1168.11, Y: 2739.51
X: 1167.81, Y: 2740.67
X: 1167.56, Y: 2741.67
