X: 1183.29, Y: 2649.02
X: 1145.24, Y: 2677.76
X: 1135.70, Y: 2684.00
X: 1132.00, Y: 2686.17
X: 1131.08, Y: 2686.61
X: 1132.01, Y: 2685.97
X: 1132.37, Y: 2685.72
X: 1132.54, Y: 2685.59
X: 1132.66, Y: 2685.50
X: 1132.76, Y: 2685.42
X: 1132.86, Y: 2685.34
X: 1132.98, Y: 2685.26
X: 1133.11, Y: 2685.17
X: 1133.24, Y: 2685.08
X: 1133.39, Y: 2684.99
X: 1133.53, Y: 2684.89
X: 1132.50, Y: 2685.28
X: 1131.69, Y: 2685.57
X: 1131.06, Y: 2685.80
X: 1130.58, Y: 2685.97
X: 1130.22, Y: 2686.09
X: 1129.97, Y: 2686.17
X: 1129.79, Y: 2686.22
X: 1129.68, Y: 2686.25
X: 1129.62, Y: 2686.26
X: 1129.59, Y: 2686.26
X: 1129.60, Y: 2686.24
X: 1129.63, Y: 2686.22
X: 1129.67, Y: 2686.20
X: 1129.72, Y: 2686.17
X: 1129.78, Y: 2686.14
X: 1136.36, Y: 2683.70
X: 1141.77, Y: 2681.70
X: 1146.17, Y: 2680.08
X: 1149.72, Y: 2678.78
X: 1152.53, Y: 2677.75
X: 1154.74, Y: 2676.95
X: 1156.43, Y: 2676.34
X: 1157.69, Y: 2675.88
X: 1158.61, Y: 2675.55
X: 1159.25, Y: 2675.33
X: 1159.66, Y: 2675.18
X: 1159.89, Y: 2675.11
X: 1159.98, Y: 2675.08
X: 1159.96, Y: 2675.09
X: 1159.87, Y: 2675.13
X: 1159.72, Y: 2675.19
X: 1158.37, Y: 2664.64
X: 1157.35, Y: 2656.39
X: 1156.59, Y: 2650.03
X: 1156.03, Y: 2645.19
X: 1155.61, Y: 2641.58
X: 1155.31, Y: 2638.94
X: 1155.09, Y: 2637.08
X: 1154.92, Y: 2635.82
X: 1154.85, Y: 2633.63
X: 1154.79, Y: 2632.84
X: 1154.65, Y: 2634.63
X: 1154.54, Y: 2635.73
X: 1154.46, Y: 2636.48
X: 1154.39, Y: 2637.01
X: 1154.33, Y: 2637.42
X: 1153.94, Y: 2632.71
X: 1153.67, Y: 2629.03
X: 1153.48, Y: 2626.12
X: 1153.36, Y: 2623.81
X: 1153.28, Y: 2621.96
X: 1153.24, Y: 2620.47
X: 1153.22, Y: 2619.28
X: 1153.21, Y: 2618.32
X: 1153.22, Y: 2617.55
X: 1153.24, Y: 2616.92
X: 1153.26, Y: 2616.42
X: 1153.28, Y: 2616.02
X: 1153.30, Y: 2615.69
X: 1169.23, Y: 2619.88
X: 1182.46, Y: 2623.08
X: 1193.45, Y: 2625.51
X: 1202.58, Y: 2627.36
X: 1210.17, Y: 2628.75
X: 1216.48, Y: 2629.79
X: 1221.72, Y: 2630.57
X: 1226.08, Y: 2631.14
X: 1229.69, Y: 2631.56
X: 1232.69, Y: 2631.86
X: 1235.18, Y: 2632.07
X: 1237.25, Y: 2632.22
X: 1238.97, Y: 2632.31
X: 1240.40, Y: 2632.37
