X: 1189.51, Y: 2689.10
X: 1209.46, Y: 2672.66
X: 1209.47, Y: 2672.72
X: 1209.47, Y: 2672.74
X: 1209.47, Y: 2672.74
X: 1209.47, Y: 2672.75
X: 1209.46, Y: 2672.75
X: 1209.46, Y: 2672.75
X: 1209.46, Y: 2672.75
X: 1209.45, Y: 2672.76
X: 1210.48, Y: 2624.80
X: 1211.27, Y: 2614.85
X: 1211.53, Y: 2613.24
X: 1211.58, Y: 2613.40
X: 1211.56, Y: 2613.84
X: 1211.53, Y: 2614.26
X: 1211.49, Y: 2614.61
X: 1211.46, Y: 2614.89
X: 1211.43, Y: 2615.12
X: 1211.40, Y: 2615.32
X: 1211.38, Y: 2615.47
X: 1211.37, Y: 2615.61
X: 1211.35, Y: 2615.72
X: 1211.34, Y: 2615.81
X: 1211.33, Y: 2615.89
X: 1251.27, Y: 2610.65
X: 1262.75, Y: 2608.93
X: 1265.84, Y: 2608.43
X: 1266.49, Y: 2608.34
X: 1266.45, Y: 2608.37
X: 1266.25, Y: 2608.43
X: 1266.02, Y: 2608.49
X: 1265.81, Y: 2608.54
X: 1265.63, Y: 2608.59
X: 1265.48, Y: 2608.63
X: 1265.35, Y: 2608.67
X: 1265.24, Y: 2608.70
X: 1265.14, Y: 2608.72
X: 1265.06, Y: 2608.74
X: 1265.00, Y: 2608.76
X: 1264.94, Y: 2608.77
X: 1253.13, Y: 2594.25
X: 1249.80, Y: 2590.90
X: 1248.89, Y: 2590.20
X: 1248.68, Y: 2590.12
X: 1248.67, Y: 2590.17
X: 1248.71, Y: 2590.24
X: 1248.75, Y: 2590.30
X: 1248.79, Y: 2590.36
X: 1248.83, Y: 2590.40
X: 1248.86, Y: 2590.44
X: 1248.89, Y: 2590.48
X: 1248.91, Y: 2590.50
X: 1248.93, Y: 2590.53
X: 1248.95, Y: 2590.55
X: 1248.96, Y: 2590.57
X: 1240.86, Y: 2638.30
X: 1238.16, Y: 2649.77
X: 1237.34, Y: 2652.33
X: 1237.14, Y: 2652.73
