X: 1221.73, Y: 2661.11
X: 1269.72, Y: 2617.39
X: 1270.09, Y: 2617.52
X: 1270.28, Y: 2617.53
X: 1270.41, Y: 2617.53
X: 1270.48, Y: 2617.54
X: 1270.51, Y: 2617.56
X: 1270.52, Y: 2617.58
X: 1270.51, Y: 2617.59
X: 1270.75, Y: 2617.48
X: 1270.58, Y: 2617.59
X: 1285.77, Y: 2628.89
X: 1293.27, Y: 2634.06
X: 1297.02, Y: 2636.44
X: 1298.84, Y: 2637.49
X: 1299.64, Y: 2637.88
X: 1299.88, Y: 2637.93
X: 1299.82, Y: 2637.81
X: 1299.59, Y: 2637.62
X: 1299.28, Y: 2637.40
X: 1298.94, Y: 2637.17
X: 1298.60, Y: 2636.96
X: 1298.27, Y: 2636.77
X: 1297.96, Y: 2636.59
X: 1297.67, Y: 2636.44
X: 1297.41, Y: 2636.30
X: 1293.06, Y: 2626.17
X: 1290.19, Y: 2619.98
X: 1288.29, Y: 2616.22
X: 1287.05, Y: 2613.98
X: 1286.24, Y: 2612.68
X: 1285.71, Y: 2611.95
X: 1285.37, Y: 2611.58
X: 1285.16, Y: 2611.41
X: 1285.03, Y: 2611.37
X: 1284.95, Y: 2611.40
X: 1284.91, Y: 2611.47
X: 1284.90, Y: 2611.56
X: 1284.89, Y: 2611.65
X: 1284.90, Y: 2611.75
X: 1284.91, Y: 2611.84
X: 1284.92, Y: 2611.92
X: 1274.49, Y: 2635.43
X: 1267.49, Y: 2649.95
X: 1262.85, Y: 2658.80
X: 1259.83, Y: 2664.10
X: 1257.90, Y: 2667.18
X: 1256.71, Y: 2668.90
X: 1256.02, Y: 2669.78
X: 1255.66, Y: 2670.15
X: 1255.51, Y: 2670.21
X: 1255.50, Y: 2670.11
X: 1255.58, Y: 2669.90
X: 1255.21, Y: 2670.42
X: 1255.32, Y: 2670.16
X: 1255.63, Y: 2669.65
X: 1256.43, Y: 2668.41
X: 1270.04, Y: 2650.45
X: 1278.68, Y: 2639.83
X: 1284.41, Y: 2633.30
X: 1288.24, Y: 2629.24
X: 1290.86, Y: 2626.67
X: 1296.82, Y: 2633.34
X: 1304.42, Y: 2644.11
X: 1309.37, Y: 2650.75
X: 1312.63, Y: 2654.84
X: 1299.69, Y: 2647.19
X: 1291.04, Y: 2642.53
X: 1285.26, Y: 2639.72
X: 1281.39, Y: 2638.02
X: 1278.79, Y: 2637.00
X: 1277.05, Y: 2636.39
X: 1275.92, Y: 2636.01
X: 1275.15, Y: 2635.78
X: 1274.64, Y: 2635.65
X: 1274.29, Y: 2635.57
X: 1274.06, Y: 2635.53
X: 1273.90, Y: 2635.50
X: 1273.79, Y: 2635.49
X: 1273.72, Y: 2635.48
X: 1273.67, Y: 2635.48
X: 1273.64, Y: 2635.48
X: 1287.72, Y: 2634.94
X: 1297.08, Y: 2634.48
X: 1303.30, Y: 2634.12
X: 1307.44, Y: 2633.83
X: 1310.18, Y: 2633.62
