X: 1122.56, Y: 2667.73
X: 1122.31, Y: 2667.24
X: 1122.06, Y: 2666.77
X: 1122.27, Y: 2668.83
X: 1122.47, Y: 2670.85
X: 1122.66, Y: 2672.83
X: 1122.85, Y: 2674.77
X: 1123.04, Y: 2676.66
X: 1123.22, Y: 2678.52
X: 1123.40, Y: 2680.34
X: 1123.57, Y: 2682.11
X: 1123.74, Y: 2683.85
X: 1123.91, Y: 2685.55
X: 1124.07, Y: 2687.22
X: 1124.23, Y: 2688.85
X: 1124.38, Y: 2690.44
X: 1124.53, Y: 2691.99
X: 1124.68, Y: 2693.51
X: 1124.82, Y: 2695.00
X: 1126.61, Y: 2694.60
X: 1128.36, Y: 2694.22
X: 1130.08, Y: 2693.83
X: 1131.78, Y: 2693.46
X: 1133.44, Y: 2693.08
X: 1135.08, Y: 2692.72
X: 1136.69, Y: 2692.35
X: 1138.27, Y: 2691.99
X: 1139.83, Y: 2691.63
X: 1141.35, Y: 2691.28
X: 1142.85, Y: 2690.93
X: 1144.33, Y: 2690.59
X: 1145.77, Y: 2690.25
X: 1147.19, Y: 2689.91
X: 1148.58, Y: 2689.58
X: 1149.09, Y: 2689.14
X: 1149.59, Y: 2688.70
X: 1150.07, Y: 2688.28
X: 1150.55, Y: 2687.86
X: 1151.01, Y: 2687.44
X: 1151.46, Y: 2687.04
X: 1151.91, Y: 2686.64
X: 1152.34, Y: 2686.25
X: 1152.76, Y: 2685.86
X: 1153.18, Y: 2685.49
X: 1153.59, Y: 2685.12
X: 1153.98, Y: 2684.76
X: 1154.37, Y: 2684.41
X: 1154.75, Y: 2684.06
X: 1155.12, Y: 2683.72
X: 1155.48, Y: 2683.39
X: 1155.48, Y: 2684.73
X: 1155.48, Y: 2686.04
X: 1155.47, Y: 2687.32
X: 1155.98, Y: 2688.91
X: 1155.94, Y: 2690.19
X: 1155.90, Y: 2691.43
X: 1155.86, Y: 2692.64
X: 1155.80, Y: 2693.80
X: 1155.74, Y: 2694.93
X: 1155.68, Y: 2696.01
X: 1155.62, Y: 2697.07
X: 1155.56, Y: 2698.09
X: 1155.50, Y: 2699.08
X: 1155.44, Y: 2700.05
X: 1155.38, Y: 2700.98
X: 1154.82, Y: 2699.85
X: 1154.28, Y: 2698.75
X: 1153.74, Y: 2697.68
X: 1153.22, Y: 2696.65
X: 1152.72, Y: 2695.64
X: 1152.22, Y: 2694.66
X: 1151.95, Y: 2693.94
X: 1151.46, Y: 2692.97
X: 1150.98, Y: 2692.03
X: 1150.51, Y: 2691.11
X: 1150.05, Y: 2690.21
X: 1149.61, Y: 2689.33
X: 1149.14, Y: 2688.45
X: 1148.68, Y: 2687.61
X: 1148.25, Y: 2686.80
X: 1147.83, Y: 2686.03
X: 1148.68, Y: 2687.45
X: 1149.50, Y: 2688.81
X: 1150.39, Y: 2690.22
X: 1151.18, Y: 2691.53
X: 1151.95, Y: 2692.79
X: 1152.69, Y: 2694.01
X: 1153.42, Y: 2695.19
X: 1154.12, Y: 2696.34
X: 1154.79, Y: 2697.44
X: 1155.45, Y: 2698.52
X: 1156.09, Y: 2699.56
X: 1156.71, Y: 2700.56
X: 1157.32, Y: 2701.54
X: 1158.15, Y: 2702.81
X: 1158.78, Y: 2703.83
X: 1158.06, Y: 2702.68
X: 1157.35, Y: 2701.56
X: 1156.64, Y: 2700.45
X: 1155.96, Y: 2699.37
X: 1155.28, Y: 2698.31
X: 1154.55, Y: 2697.20
X: 1153.85, Y: 2696.13
X: 1153.17, Y: 2695.10
X: 1152.52, Y: 2694.11
X: 1151.92, Y: 2693.20
X: 1151.34, Y: 2692.30
X: 1150.77, Y: 2691.43
X: 1150.21, Y: 2690.58
X: 1149.66, Y: 2689.75
X: 1149.13, Y: 2688.94
X: 1149.27, Y: 2689.08
X: 1149.42, Y: 2689.21
X: 1149.56, Y: 2689.34
X: 1149.69, Y: 2689.47
X: 1149.82, Y: 2689.59
X: 1149.95, Y: 2689.71
X: 1150.09, Y: 2689.84
X: 1150.23, Y: 2689.97
X: 1150.36, Y: 2690.09
X: 1150.49, Y: 2690.21
X: 1150.62, Y: 2690.33
X: 1150.75, Y: 2690.44
X: 1150.87, Y: 2690.56
X: 1150.99, Y: 2690.67
X: 1151.16, Y: 2690.82
X: 1151.28, Y: 2690.92
X: 1150.23, Y: 2691.31
X: 1149.21, Y: 2691.69
X: 1148.20, Y: 2692.06
X: 1147.20, Y: 2692.42
X: 1146.23, Y: 2692.78
X: 1145.27, Y: 2693.13
X: 1144.30, Y: 2693.54
X: 1143.35, Y: 2693.88
X: 1142.42, Y: 2694.22
X: 1141.51, Y: 2694.54
X: 1140.62, Y: 2694.86
X: 1139.74, Y: 2695.17
X: 1138.85, Y: 2695.50
X: 1138.01, Y: 2695.79
X: 1137.19, Y: 2696.07
X: 1136.78, Y: 2696.59
X: 1136.39, Y: 2697.09
X: 1136.00, Y: 2697.58
X: 1135.62, Y: 2698.06
X: 1135.19, Y: 2698.60
X: 1134.85, Y: 2699.03
X: 1134.52, Y: 2699.44
X: 1134.20, Y: 2699.84
X: 1133.90, Y: 2700.22
X: 1133.60, Y: 2700.60
X: 1133.31, Y: 2700.96
X: 1133.02, Y: 2701.31
X: 1132.60, Y: 2701.82
X: 1132.29, Y: 2702.20
X: 1131.99, Y: 2702.56
X: 1131.69, Y: 2702.92
X: 1132.16, Y: 2703.35
X: 1132.62, Y: 2703.77
X: 1133.10, Y: 2704.13
X: 1133.57, Y: 2704.47
