X: 1173.27, Y: 2693.91
X: 1164.54, Y: 2709.36
X: 1163.35, Y: 2710.95
X: 1163.19, Y: 2711.11
X: 1163.21, Y: 2711.07
X: 1163.25, Y: 2711.02
X: 1163.28, Y: 2710.99
X: 1162.64, Y: 2634.32
X: 1163.97, Y: 2623.95
X: 1164.25, Y: 2623.58
X: 1164.23, Y: 2624.32
X: 1164.16, Y: 2624.92
X: 1164.10, Y: 2625.30
X: 1164.06, Y: 2625.54
X: 1164.04, Y: 2625.68
X: 1164.03, Y: 2625.77
X: 1164.02, Y: 2625.82
X: 1164.01, Y: 2625.85
X: 1164.01, Y: 2625.87
X: 1164.01, Y: 2625.88
X: 1164.01, Y: 2625.88
X: 1164.01, Y: 2625.89
X: 1157.57, Y: 2657.30
X: 1155.99, Y: 2661.58
X: 1155.82, Y: 2661.74
X: 1155.92, Y: 2661.44
X: 1156.03, Y: 2661.18
X: 1156.11, Y: 2661.02
X: 1156.16, Y: 2660.92
X: 1156.19, Y: 2660.86
X: 1156.20, Y: 2660.82
X: 1156.21, Y: 2660.80
X: 1156.22, Y: 2660.79
X: 1156.22, Y: 2660.78
X: 1156.22, Y: 2660.78
X: 1156.22, Y: 2660.77
X: 1156.23, Y: 2660.77
X: 1156.23, Y: 2660.77
X: 1148.80, Y: 2652.55
X: 1147.81, Y: 2651.59
X: 1147.77, Y: 2651.58
X: 1147.84, Y: 2651.65
X: 1147.90, Y: 2651.71
X: 1147.94, Y: 2651.74
X: 1147.96, Y: 2651.76
X: 1147.98, Y: 2651.77
X: 1147.98, Y: 2651.78
X: 1147.99, Y: 2651.79
X: 1147.99, Y: 2651.79
X: 1147.99, Y: 2651.79
X: 1148.00, Y: 2651.79
X: 1148.00, Y: 2651.79
X: 1148.00, Y: 2651.79
X: 1114.98, Y: 2648.02
X: 1109.44, Y: 2648.04
X: 1109.05, Y: 2648.13
X: 1109.42, Y: 2648.15
X: 1109.76, Y: 2648.14
X: 1109.99, Y: 2648.13
X: 1110.14, Y: 2648.12
X: 1110.22, Y: 2648.12
X: 1110.22, Y: 2648.12
X: 1148.68, Y: 2550.48
X: 1080.43, Y: 2661.84
X: 1069.47, Y: 2673.24
X: 1070.03, Y: 2670.80
X: 1071.86, Y: 2667.74
X: 1073.21, Y: 2665.64
X: 1074.04, Y: 2664.34
X: 1074.53, Y: 2663.56
X: 1074.82, Y: 2663.10
X: 1074.99, Y: 2662.82
X: 1075.09, Y: 2662.65
X: 1075.15, Y: 2662.55
X: 1075.18, Y: 2662.50
X: 1075.20, Y: 2662.46
X: 1142.63, Y: 2657.29
X: 1152.82, Y: 2655.63
X: 1153.39, Y: 2655.40
X: 1152.69, Y: 2655.51
X: 1152.06, Y: 2655.63
X: 1151.65, Y: 2655.72
X: 1151.40, Y: 2655.77
X: 1151.25, Y: 2655.80
X: 1151.16, Y: 2655.82
X: 1151.10, Y: 2655.83
X: 1151.07, Y: 2655.84
X: 1151.05, Y: 2655.84
X: 1151.04, Y: 2655.84
X: 1151.03, Y: 2655.84
X: 1151.03, Y: 2655.85
X: 1124.30, Y: 2643.86
X: 1120.34, Y: 2642.75
X: 1120.14, Y: 2642.79
X: 1120.41, Y: 2642.88
X: 1120.65, Y: 2642.94
X: 1120.80, Y: 2642.98
X: 1120.90, Y: 2643.00
X: 1120.96, Y: 2643.01
X: 1120.99, Y: 2643.02
X: 1121.01, Y: 2643.02
X: 1121.02, Y: 2643.02
X: 1121.03, Y: 2643.02
X: 1121.04, Y: 2643.03
X: 1121.04, Y: 2643.03
X: 1121.04, Y: 2643.03
X: 1121.04, Y: 2643.03
X: 1130.66, Y: 2692.39
X: 1131.35, Y: 2698.72
X: 1131.28, Y: 2698.90
X: 1131.24, Y: 2698.44
X: 1131.22, Y: 2698.07
X: 1131.22, Y: 2697.83
X: 1131.21, Y: 2697.69
X: 1131.21, Y: 2697.61
X: 1131.21, Y: 2697.55
X: 1131.21, Y: 2697.52
X: 1131.20, Y: 2697.50
X: 1131.20, Y: 2697.49
X: 1131.20, Y: 2697.49
X: 1131.20, Y: 2697.48
X: 1131.20, Y: 2697.48
X: 1139.37, Y: 2703.57
X: 1140.41, Y: 2704.27
X: 1140.44, Y: 2704.28
X: 1140.37, Y: 2704.22
X: 1140.31, Y: 2704.18
X: 1140.27, Y: 2704.16
X: 1140.25, Y: 2704.14
X: 1140.23, Y: 2704.14
X: 1140.22, Y: 2704.13
X: 1140.22, Y: 2704.13
X: 1140.21, Y: 2704.13
X: 1140.21, Y: 2704.12
X: 1140.21, Y: 2704.12
X: 1140.21, Y: 2704.12
X: 1140.21, Y: 2704.12
X: 1159.67, Y: 2673.01
X: 1162.86, Y: 2668.76
X: 1163.05, Y: 2668.61
X: 1162.84, Y: 2668.91
X: 1162.43, Y: 2669.45
X: 1162.36, Y: 2669.53
X: 1162.34, Y: 2669.54
X: 1162.34, Y: 2669.54
X: 1162.34, Y: 2669.55
X: 1162.33, Y: 2669.55
X: 1162.34, Y: 2669.55
X: 1162.34, Y: 2669.55
X: 1162.34, Y: 2669.55
X: 1162.34, Y: 2669.55
X: 1162.34, Y: 2669.55
X: 1162.34, Y: 2669.55
X: 1155.55, Y: 2666.10
