X: 1246.01, Y: 2475.08
X: 1216.10, Y: 2479.63
X: 1214.09, Y: 2480.24
X: 1214.52, Y: 2480.12
X: 1214.61, Y: 2480.08
X: 1214.63, Y: 2480.08
X: 1214.64, Y: 2480.08
X: 1214.64, Y: 2480.08
X: 1214.64, Y: 2480.08
X: 1210.85, Y: 2496.01
X: 1210.89, Y: 2495.97
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1210.89, Y: 2495.98
X: 1208.98, Y: 2499.27
X: 1208.91, Y: 2499.31
X: 1208.92, Y: 2499.30
X: 1208.93, Y: 2499.30
X: 1208.93, Y: 2499.30
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1208.93, Y: 2499.29
X: 1220.19, Y: 2442.36
X: 1220.85, Y: 2441.99
X: 1220.80, Y: 2442.03
X: 1220.76, Y: 2442.06
X: 1220.74, Y: 2442.07
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1220.73, Y: 2442.08
X: 1173.90, Y: 2457.62
X: 1173.63, Y: 2458.08
X: 1173.65, Y: 2458.00
X: 1173.67, Y: 2457.96
X: 1173.68, Y: 2457.94
X: 1173.68, Y: 2457.94
X: 1173.68, Y: 2457.94
X: 1173.68, Y: 2457.94
X: 1173.68, Y: 2457.94
X: 918.37, Y: 2750.12
X: 899.16, Y: 2552.94
X: 1171.32, Y: 2605.69
X: 1182.44, Y: 2603.84
X: 1189.51, Y: 2603.85
X: 1190.10, Y: 2540.53
X: 1191.62, Y: 2540.38
X: 1191.61, Y: 2540.39
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1191.61, Y: 2540.40
X: 1178.66, Y: 2524.80
X: 1178.64, Y: 2524.83
X: 1178.65, Y: 2524.83
X: 1178.65, Y: 2524.82
X: 1178.65, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1178.66, Y: 2524.82
X: 1211.07, Y: 2549.49
X: 1210.18, Y: 2549.44
X: 1210.39, Y: 2549.47
X: 1210.47, Y: 2549.48
X: 1210.50, Y: 2549.49
X: 1210.51, Y: 2549.49
X: 1210.52, Y: 2549.49
X: 1210.52, Y: 2549.49
X: 1210.52, Y: 2549.49
X: 1210.53, Y: 2549.49
