X: 1200.10, Y: 2550.84
X: 1192.98, Y: 2550.31
X: 1185.98, Y: 2549.79
X: 1179.15, Y: 2549.30
X: 1172.46, Y: 2548.83
X: 1167.82, Y: 2546.85
X: 1162.88, Y: 2544.78
X: 1158.02, Y: 2542.76
X: 1153.23, Y: 2540.78
X: 1148.52, Y: 2538.84
X: 1143.10, Y: 2536.65
X: 1138.42, Y: 2534.75
X: 1133.42, Y: 2532.75
X: 1128.47, Y: 2530.77
X: 1123.58, Y: 2528.83
X: 1118.73, Y: 2526.93
X: 1113.94, Y: 2525.05
X: 1109.21, Y: 2523.21
X: 1104.52, Y: 2521.40
X: 1099.83, Y: 2519.60
X: 1095.43, Y: 2518.86
X: 1091.08, Y: 2518.14
X: 1086.79, Y: 2517.44
X: 1082.56, Y: 2516.77
X: 1078.38, Y: 2516.13
X: 1075.49, Y: 2515.93
X: 1072.67, Y: 2515.74
X: 1069.91, Y: 2515.56
X: 1067.22, Y: 2515.40
X: 1064.59, Y: 2515.24
X: 1061.67, Y: 2514.97
X: 1058.80, Y: 2514.71
X: 1055.98, Y: 2514.46
X: 1053.22, Y: 2514.23
X: 1050.51, Y: 2514.00
X: 1051.58, Y: 2514.71
X: 1052.62, Y: 2515.40
X: 1053.64, Y: 2516.07
X: 1053.29, Y: 2516.29
X: 1053.29, Y: 2516.63
X: 1053.31, Y: 2516.97
X: 1053.35, Y: 2517.31
X: 1053.19, Y: 2517.59
X: 1053.18, Y: 2517.91
X: 1053.20, Y: 2518.23
X: 1053.23, Y: 2518.56
X: 1053.29, Y: 2518.89
X: 1052.94, Y: 2519.10
X: 1053.39, Y: 2519.54
X: 1053.84, Y: 2519.98
X: 1054.29, Y: 2520.41
X: 1058.98, Y: 2520.63
X: 1064.05, Y: 2520.96
X: 1069.10, Y: 2521.29
X: 1074.14, Y: 2521.62
X: 1079.16, Y: 2521.94
X: 1084.17, Y: 2522.27
X: 1089.14, Y: 2522.60
X: 1094.10, Y: 2522.92
X: 1099.03, Y: 2523.24
X: 1103.89, Y: 2523.55
X: 1108.73, Y: 2523.86
X: 1113.55, Y: 2524.16
X: 1118.35, Y: 2524.47
X: 1123.11, Y: 2524.77
X: 1127.85, Y: 2525.08
X: 1130.76, Y: 2524.90
X: 1133.66, Y: 2524.72
X: 1135.76, Y: 2524.15
X: 1138.74, Y: 2524.01
X: 1141.69, Y: 2523.88
X: 1144.62, Y: 2523.75
X: 1147.52, Y: 2523.63
X: 1150.39, Y: 2523.51
X: 1153.05, Y: 2523.26
X: 1155.96, Y: 2523.19
X: 1158.82, Y: 2523.13
X: 1161.65, Y: 2523.07
X: 1164.43, Y: 2523.01
X: 1167.18, Y: 2522.95
X: 1169.88, Y: 2522.89
X: 1172.69, Y: 2523.00
X: 1174.28, Y: 2522.44
X: 1175.82, Y: 2521.89
X: 1177.31, Y: 2521.36
X: 1178.77, Y: 2520.85
X: 1180.19, Y: 2520.35
X: 1181.62, Y: 2519.93
X: 1183.01, Y: 2519.53
X: 1184.18, Y: 2518.87
X: 1185.35, Y: 2518.22
X: 1186.51, Y: 2517.57
X: 1187.66, Y: 2516.94
X: 1188.79, Y: 2516.31
X: 1189.92, Y: 2515.70
X: 1191.04, Y: 2515.10
X: 1192.16, Y: 2514.57
X: 1193.02, Y: 2513.81
X: 1193.86, Y: 2513.08
X: 1194.69, Y: 2512.35
X: 1195.51, Y: 2511.65
X: 1196.32, Y: 2510.95
X: 1197.12, Y: 2510.27
X: 1197.91, Y: 2509.61
X: 1198.67, Y: 2508.88
X: 1199.43, Y: 2508.17
X: 1200.18, Y: 2507.47
X: 1200.93, Y: 2506.78
X: 1201.67, Y: 2506.11
X: 1202.40, Y: 2505.45
X: 1203.14, Y: 2505.05
X: 1203.86, Y: 2504.65
X: 1204.57, Y: 2504.27
X: 1205.15, Y: 2502.27
X: 1205.73, Y: 2500.19
X: 1206.29, Y: 2498.15
X: 1206.84, Y: 2496.15
X: 1207.39, Y: 2494.20
X: 1207.92, Y: 2492.28
X: 1208.45, Y: 2490.40
X: 1208.99, Y: 2487.98
X: 1209.51, Y: 2486.32
X: 1210.01, Y: 2484.71
X: 1210.50, Y: 2483.14
X: 1210.98, Y: 2481.61
X: 1211.48, Y: 2479.63
X: 1211.96, Y: 2477.84
X: 1212.45, Y: 2476.07
X: 1211.85, Y: 2473.62
X: 1211.27, Y: 2471.21
X: 1210.69, Y: 2468.83
X: 1210.11, Y: 2466.49
X: 1209.54, Y: 2464.19
X: 1208.99, Y: 2461.21
X: 1208.43, Y: 2458.24
X: 1207.85, Y: 2455.29
X: 1207.29, Y: 2453.35
X: 1206.74, Y: 2451.45
X: 1206.20, Y: 2449.59
X: 1205.68, Y: 2447.79
X: 1205.17, Y: 2446.02
X: 1204.67, Y: 2444.30
X: 1204.19, Y: 2442.94
X: 1203.74, Y: 2441.62
X: 1204.61, Y: 2439.49
X: 1205.47, Y: 2437.43
X: 1206.29, Y: 2435.00
X: 1207.11, Y: 2432.62
X: 1207.91, Y: 2430.29
X: 1208.70, Y: 2428.01
X: 1209.48, Y: 2425.77
X: 1210.25, Y: 2423.57
X: 1211.00, Y: 2421.42
X: 1211.75, Y: 2419.32
X: 1212.49, Y: 2417.01
X: 1213.23, Y: 2414.75
X: 1213.96, Y: 2412.53
X: 1214.69, Y: 2410.34
X: 1215.42, Y: 2407.97
X: 1216.82, Y: 2406.10
X: 1218.22, Y: 2404.00
X: 1219.60, Y: 2401.93
X: 1220.97, Y: 2399.91
X: 1222.33, Y: 2397.92
X: 1223.71, Y: 2395.65
X: 1225.03, Y: 2393.78
X: 1226.34, Y: 2391.95
X: 1227.63, Y: 2390.16
X: 1228.91, Y: 2388.41
X: 1230.17, Y: 2386.69
X: 1231.41, Y: 2385.00
X: 1232.64, Y: 2383.36
X: 1233.84, Y: 2381.74
X: 1235.04, Y: 2380.16
X: 1233.76, Y: 2377.82
X: 1232.20, Y: 2377.09
X: 1230.66, Y: 2376.39
X: 1229.14, Y: 2375.71
X: 1227.64, Y: 2375.05
X: 1226.19, Y: 2374.19
X: 1224.71, Y: 2373.67
X: 1223.26, Y: 2373.16
X: 1221.83, Y: 2372.68
X: 1220.42, Y: 2372.21
X: 1219.04, Y: 2371.77
X: 1217.67, Y: 2371.34
X: 1216.33, Y: 2370.93
X: 1215.00, Y: 2370.54
X: 1213.70, Y: 2370.17
X: 1212.42, Y: 2369.82
X: 1210.73, Y: 2365.41
X: 1209.07, Y: 2362.79
X: 1207.45, Y: 2360.22
X: 1205.85, Y: 2357.72
X: 1204.28, Y: 2355.27
X: 1202.71, Y: 2352.53
X: 1201.19, Y: 2350.25
X: 1199.70, Y: 2348.03
X: 1198.25, Y: 2345.86
X: 1196.82, Y: 2343.74
X: 1195.42, Y: 2341.67
X: 1194.04, Y: 2339.66
X: 1192.70, Y: 2337.69
X: 1191.38, Y: 2335.77
X: 1190.08, Y: 2333.90
X: 1188.19, Y: 2330.95
X: 1186.32, Y: 2328.00
X: 1184.49, Y: 2325.11
X: 1182.69, Y: 2322.29
X: 1180.93, Y: 2319.53
X: 1179.20, Y: 2316.84
X: 1177.50, Y: 2314.21
X: 1175.65, Y: 2310.83
X: 1174.13, Y: 2308.86
X: 1172.66, Y: 2306.95
X: 1171.23, Y: 2305.09
X: 1169.83, Y: 2303.28
