X: 1207.67, Y: 2636.63
X: 1231.60, Y: 2608.03
X: 1231.97, Y: 2604.83
X: 1231.67, Y: 2602.88
X: 1233.98, Y: 2600.63
X: 1231.93, Y: 2600.81
X: 1232.05, Y: 2601.59
X: 1229.79, Y: 2601.50
X: 1217.24, Y: 2641.96
X: 1227.71, Y: 2635.74
X: 1222.91, Y: 2642.11
X: 1220.24, Y: 2643.00
X: 1219.68, Y: 2646.78
X: 1213.04, Y: 2649.83
X: 1212.75, Y: 2651.64
X: 1212.12, Y: 2653.01
X: 1213.95, Y: 2663.96
X: 1208.02, Y: 2665.50
X: 1208.18, Y: 2664.00
X: 1206.91, Y: 2662.98
X: 1201.30, Y: 2661.25
X: 1208.32, Y: 2655.95
X: 1200.30, Y: 2650.63
X: 1193.69, Y: 2651.31
X: 1185.51, Y: 2662.60
X: 1185.70, Y: 2665.04
X: 1180.09, Y: 2669.21
X: 1181.39, Y: 2669.26
X: 1179.83, Y: 2670.11
X: 1178.90, Y: 2670.74
X: 1177.05, Y: 2667.04
X: 1174.68, Y: 2666.42
X: 1170.41, Y: 2666.67
X: 1171.71, Y: 2670.73
X: 1170.75, Y: 2673.89
X: 1178.28, Y: 2675.53
X: 1185.78, Y: 2682.80
X: 1187.38, Y: 2683.28
X: 1184.54, Y: 2685.33
X: 1168.28, Y: 2681.20
X: 1161.89, Y: 2680.60
X: 1152.42, Y: 2674.73
X: 1148.84, Y: 2670.55
X: 1149.90, Y: 2668.66
X: 1155.94, Y: 2666.74
X: 1158.94, Y: 2668.38
X: 1161.57, Y: 2663.52
X: 1163.57, Y: 2655.95
X: 1166.78, Y: 2652.76
X: 1166.49, Y: 2648.81
X: 1167.28, Y: 2643.57
X: 1165.93, Y: 2644.78
X: 1165.10, Y: 2643.13
X: 1156.92, Y: 2644.96
X: 1153.71, Y: 2645.13
X: 1181.85, Y: 2618.99
X: 1182.94, Y: 2620.31
X: 1184.45, Y: 2624.08
X: 1193.75, Y: 2620.10
X: 1194.93, Y: 2620.16
X: 1195.97, Y: 2619.06
X: 1198.31, Y: 2617.62
X: 1197.03, Y: 2643.04
X: 1194.68, Y: 2653.06
X: 1194.45, Y: 2658.67
X: 1191.02, Y: 2664.00
X: 1186.34, Y: 2668.04
X: 1190.55, Y: 2671.46
X: 1185.08, Y: 2672.62
X: 1187.58, Y: 2682.45
X: 1183.14, Y: 2687.06
X: 1181.25, Y: 2689.87
X: 1234.23, Y: 2712.48
X: 1251.69, Y: 2712.90
X: 1254.48, Y: 2717.18
X: 1258.68, Y: 2720.30
X: 1262.23, Y: 2724.59
X: 1262.55, Y: 2728.29
X: 1260.77, Y: 2724.62
X: 1266.12, Y: 2723.14
X: 1270.42, Y: 2713.20
X: 1270.24, Y: 2714.31
X: 1269.66, Y: 2715.07
X: 1265.17, Y: 2714.85
X: 1266.01, Y: 2713.05
X: 1266.37, Y: 2713.65
X: 1264.31, Y: 2717.34
X: 1241.42, Y: 2676.00
X: 1234.44, Y: 2666.84
X: 1238.15, Y: 2664.70
X: 1239.50, Y: 2663.64
X: 1236.52, Y: 2662.43
X: 1225.01, Y: 2656.53
X: 1218.82, Y: 2652.94
X: 1213.31, Y: 2650.55
X: 1216.77, Y: 2650.01
X: 1210.17, Y: 2648.72
X: 1208.25, Y: 2650.04
X: 1206.09, Y: 2650.50
X: 1205.58, Y: 2650.59
X: 1203.40, Y: 2652.50
X: 1213.89, Y: 2657.68
X: 1206.71, Y: 2659.81
X: 1210.45, Y: 2650.30
X: 1207.82, Y: 2650.16
X: 1205.32, Y: 2648.24
X: 1199.47, Y: 2649.45
X: 1204.22, Y: 2643.51
X: 1202.02, Y: 2650.87
X: 1207.85, Y: 2649.85
X: 1214.15, Y: 2650.34
X: 1212.52, Y: 2647.57
X: 1216.56, Y: 2644.42
X: 1214.69, Y: 2637.89
X: 1213.19, Y: 2643.00
X: 1210.42, Y: 2642.58
X: 1209.21, Y: 2644.05
X: 1205.34, Y: 2646.05
X: 1202.47, Y: 2643.78
X: 1203.60, Y: 2642.05
X: 1203.45, Y: 2640.75
X: 1203.51, Y: 2638.91
X: 1201.80, Y: 2641.99
X: 1203.01, Y: 2643.28
X: 1194.49, Y: 2650.95
X: 1199.86, Y: 2648.38
X: 1204.69, Y: 2645.60
X: 1203.59, Y: 2643.56
X: 1200.65, Y: 2643.04
X: 1201.28, Y: 2643.35
X: 1196.30, Y: 2641.40
X: 1193.10, Y: 2640.40
X: 1190.34, Y: 2643.72
X: 1186.53, Y: 2646.43
X: 1191.73, Y: 2639.36
X: 1188.43, Y: 2636.51
X: 1191.98, Y: 2631.36
X: 1192.38, Y: 2632.96
X: 1191.72, Y: 2641.12
X: 1203.18, Y: 2636.47
X: 1207.88, Y: 2630.49
X: 1213.61, Y: 2623.98
X: 1217.02, Y: 2624.69
X: 1218.62, Y: 2620.43
X: 1216.69, Y: 2618.59
X: 1223.46, Y: 2613.48
X: 1232.54, Y: 2621.28
