X: 1139.88, Y: 2675.66
X: 1153.52, Y: 2666.99
X: 1143.73, Y: 2661.92
X: 1143.39, Y: 2664.60
X: 1141.87, Y: 2665.51
X: 1163.83, Y: 2683.58
X: 1166.82, Y: 2683.66
X: 1166.84, Y: 2683.22
X: 1165.78, Y: 2685.65
X: 1167.01, Y: 2687.59
X: 1167.23, Y: 2685.61
X: 1167.57, Y: 2685.16
X: 1169.81, Y: 2687.32
X: 1173.57, Y: 2685.80
X: 1174.48, Y: 2685.43
X: 1176.41, Y: 2684.31
X: 1175.91, Y: 2686.64
X: 1177.70, Y: 2685.53
X: 1178.00, Y: 2682.51
X: 1178.05, Y: 2678.66
X: 1176.88, Y: 2672.86
X: 1173.73, Y: 2654.25
X: 1171.36, Y: 2652.44
X: 1166.97, Y: 2648.47
X: 1164.84, Y: 2646.29
X: 1163.47, Y: 2644.04
X: 1166.14, Y: 2645.96
X: 1154.25, Y: 2644.66
X: 1152.91, Y: 2646.38
X: 1150.01, Y: 2647.80
X: 1150.47, Y: 2647.01
X: 1151.08, Y: 2646.30
X: 1151.14, Y: 2642.43
X: 1152.25, Y: 2642.60
X: 1154.85, Y: 2643.38
X: 1150.77, Y: 2646.42
X: 1156.24, Y: 2669.73
X: 1159.94, Y: 2675.97
X: 1167.29, Y: 2699.09
X: 1170.71, Y: 2702.76
X: 1174.24, Y: 2704.36
X: 1175.87, Y: 2703.79
X: 1173.38, Y: 2705.27
X: 1172.70, Y: 2706.50
X: 1174.19, Y: 2706.66
X: 1174.29, Y: 2706.80
X: 1169.97, Y: 2712.13
X: 1171.26, Y: 2712.06
X: 1171.05, Y: 2712.65
X: 1171.03, Y: 2715.51
X: 1169.47, Y: 2715.70
X: 1171.59, Y: 2718.27
X: 1187.03, Y: 2672.65
X: 1181.98, Y: 2656.18
X: 1183.05, Y: 2654.40
X: 1182.63, Y: 2652.82
X: 1184.47, Y: 2648.38
X: 1187.73, Y: 2647.84
X: 1186.97, Y: 2647.69
X: 1187.43, Y: 2645.11
X: 1180.58, Y: 2641.14
X: 1179.87, Y: 2639.52
X: 1153.73, Y: 2641.53
X: 1153.39, Y: 2642.20
X: 1155.14, Y: 2644.19
X: 1155.79, Y: 2642.78
X: 1149.07, Y: 2646.88
X: 1147.94, Y: 2646.63
X: 1144.65, Y: 2645.42
X: 1142.70, Y: 2646.24
X: 1145.09, Y: 2642.22
X: 1144.41, Y: 2643.20
X: 1146.93, Y: 2642.65
X: 1146.18, Y: 2642.13
X: 1149.85, Y: 2640.68
X: 1158.24, Y: 2635.11
X: 1158.75, Y: 2634.57
X: 1157.68, Y: 2633.78
X: 1156.22, Y: 2632.05
X: 1157.97, Y: 2629.37
X: 1157.76, Y: 2627.84
X: 1157.90, Y: 2628.27
X: 1162.49, Y: 2623.53
X: 1161.57, Y: 2625.03
X: 1160.44, Y: 2622.83
X: 1155.59, Y: 2610.95
X: 1155.07, Y: 2609.48
X: 1156.37, Y: 2607.68
X: 1158.78, Y: 2607.56
X: 1161.11, Y: 2609.87
X: 1163.83, Y: 2609.76
X: 1161.60, Y: 2609.14
X: 1157.70, Y: 2609.79
X: 1158.53, Y: 2610.12
X: 1158.16, Y: 2610.19
X: 1157.42, Y: 2611.73
X: 1157.70, Y: 2611.68
X: 1158.34, Y: 2612.35
X: 1158.20, Y: 2612.19
X: 1156.08, Y: 2612.02
X: 1155.54, Y: 2610.92
X: 1144.89, Y: 2628.55
X: 1136.17, Y: 2630.72
X: 1137.88, Y: 2630.40
X: 1137.05, Y: 2629.13
X: 1136.85, Y: 2626.44
X: 1134.90, Y: 2625.40
X: 1138.16, Y: 2623.29
X: 1142.74, Y: 2622.65
X: 1141.51, Y: 2623.35
X: 1139.80, Y: 2623.50
X: 1138.12, Y: 2628.04
X: 1135.03, Y: 2628.14
X: 1130.29, Y: 2626.76
X: 1128.74, Y: 2627.78
X: 1122.18, Y: 2626.33
X: 1179.49, Y: 2653.92
X: 1183.25, Y: 2660.84
X: 1182.22, Y: 2660.85
X: 1181.65, Y: 2662.23
X: 1181.46, Y: 2660.07
X: 1179.77, Y: 2659.92
X: 1180.89, Y: 2658.02
X: 1179.06, Y: 2657.80
X: 1179.51, Y: 2657.73
X: 1179.31, Y: 2658.94
X: 1177.02, Y: 2659.60
X: 1177.30, Y: 2660.27
X: 1176.96, Y: 2659.08
X: 1176.73, Y: 2658.76
X: 1178.29, Y: 2657.87
X: 1178.46, Y: 2659.35
X: 1168.42, Y: 2675.88
X: 1167.34, Y: 2674.88
X: 1169.16, Y: 2674.77
X: 1168.34, Y: 2674.05
X: 1166.97, Y: 2670.81
X: 1168.04, Y: 2671.74
X: 1166.26, Y: 2670.67
X: 1165.09, Y: 2670.24
X: 1165.76, Y: 2670.72
X: 1166.52, Y: 2674.53
X: 1165.91, Y: 2671.79
X: 1168.83, Y: 2671.78
X: 1168.88, Y: 2672.06
X: 1166.77, Y: 2674.79
X: 1163.96, Y: 2677.04
X: 1166.45, Y: 2642.66
