X: 1174.99, Y: 2592.74
X: 1189.82, Y: 2597.49
X: 1194.99, Y: 2599.24
X: 1194.34, Y: 2601.39
X: 1192.99, Y: 2600.56
X: 1196.26, Y: 2599.29
X: 1196.76, Y: 2597.43
X: 1197.31, Y: 2600.06
X: 1197.37, Y: 2601.21
X: 1195.00, Y: 2598.25
X: 1202.12, Y: 2590.10
X: 1205.86, Y: 2594.80
X: 1206.75, Y: 2595.51
X: 1235.25, Y: 2597.75
X: 1245.64, Y: 2599.60
X: 1259.34, Y: 2600.09
X: 1268.49, Y: 2603.38
X: 1269.92, Y: 2604.42
X: 1260.75, Y: 2610.26
X: 1262.27, Y: 2618.56
X: 1265.60, Y: 2621.58
X: 1266.96, Y: 2620.65
X: 1269.76, Y: 2619.63
X: 1273.33, Y: 2617.55
X: 1277.37, Y: 2614.49
X: 1279.40, Y: 2613.17
X: 1285.04, Y: 2615.59
X: 1286.49, Y: 2616.37
X: 1299.56, Y: 2620.20
X: 1276.53, Y: 2604.81
X: 1260.99, Y: 2587.99
X: 1255.81, Y: 2596.09
X: 1257.53, Y: 2593.64
X: 1232.88, Y: 2606.82
X: 1221.60, Y: 2606.03
X: 1214.31, Y: 2605.07
X: 1208.77, Y: 2601.71
X: 1209.58, Y: 2600.69
X: 1209.01, Y: 2597.73
X: 1208.13, Y: 2583.65
X: 1204.15, Y: 2584.40
X: 1204.58, Y: 2586.55
X: 1210.32, Y: 2592.20
X: 1221.98, Y: 2596.36
X: 1223.42, Y: 2564.37
X: 1222.98, Y: 2557.16
X: 1224.37, Y: 2548.34
X: 1222.73, Y: 2548.17
X: 1221.86, Y: 2545.63
X: 1220.65, Y: 2544.32
X: 1220.38, Y: 2542.59
X: 1221.74, Y: 2535.30
X: 1216.35, Y: 2530.28
X: 1217.58, Y: 2527.62
X: 1225.09, Y: 2526.87
X: 1229.77, Y: 2531.20
X: 1218.51, Y: 2529.41
X: 1215.58, Y: 2535.30
X: 1213.84, Y: 2534.00
X: 1211.04, Y: 2538.51
X: 1219.77, Y: 2562.87
X: 1225.37, Y: 2576.46
X: 1213.34, Y: 2575.85
X: 1246.93, Y: 2605.96
X: 1259.47, Y: 2629.73
X: 1252.86, Y: 2634.76
X: 1251.03, Y: 2645.74
X: 1254.50, Y: 2651.16
X: 1254.20, Y: 2654.44
X: 1253.58, Y: 2656.52
X: 1251.20, Y: 2660.75
X: 1233.16, Y: 2659.45
X: 1230.49, Y: 2639.55
X: 1229.93, Y: 2633.68
X: 1230.45, Y: 2630.10
X: 1236.73, Y: 2632.79
X: 1232.56, Y: 2633.47
X: 1227.10, Y: 2636.92
X: 1223.66, Y: 2640.62
X: 1221.56, Y: 2644.30
X: 1263.07, Y: 2696.25
X: 1266.44, Y: 2710.99
X: 1263.00, Y: 2715.09
X: 1260.15, Y: 2722.89
X: 1254.70, Y: 2729.11
X: 1251.16, Y: 2738.62
X: 1248.72, Y: 2744.69
X: 1242.61, Y: 2742.48
X: 1246.44, Y: 2740.00
X: 1243.66, Y: 2738.77
X: 1246.78, Y: 2736.95
X: 1254.05, Y: 2735.94
X: 1251.01, Y: 2730.19
X: 1258.38, Y: 2716.14
X: 1262.93, Y: 2715.94
X: 1261.06, Y: 2713.86
X: 1252.80, Y: 2687.41
X: 1247.62, Y: 2682.85
X: 1244.65, Y: 2678.59
X: 1242.42, Y: 2672.95
X: 1244.47, Y: 2670.75
X: 1245.03, Y: 2667.16
X: 1247.94, Y: 2661.71
X: 1246.00, Y: 2659.20
X: 1247.05, Y: 2656.57
X: 1244.07, Y: 2657.77
X: 1241.72, Y: 2659.23
X: 1244.43, Y: 2652.15
X: 1243.28, Y: 2655.39
X: 1242.45, Y: 2659.18
X: 1243.10, Y: 2661.92
X: 1240.81, Y: 2681.18
X: 1241.27, Y: 2680.55
X: 1244.34, Y: 2681.74
X: 1245.40, Y: 2679.58
X: 1243.64, Y: 2681.36
X: 1246.08, Y: 2679.42
X: 1247.26, Y: 2682.09
X: 1250.49, Y: 2680.01
X: 1257.40, Y: 2677.05
X: 1256.15, Y: 2677.55
X: 1256.05, Y: 2672.24
X: 1256.12, Y: 2675.58
X: 1256.53, Y: 2673.01
X: 1256.04, Y: 2673.25
X: 1255.94, Y: 2672.00
X: 1258.34, Y: 2675.57
X: 1261.53, Y: 2670.19
X: 1257.53, Y: 2669.04
X: 1259.22, Y: 2672.44
X: 1259.87, Y: 2670.53
X: 1258.81, Y: 2671.35
X: 1258.01, Y: 2670.06
X: 1258.55, Y: 2670.27
X: 1258.79, Y: 2674.05
X: 1255.59, Y: 2673.61
X: 1260.93, Y: 2671.85
X: 1263.37, Y: 2669.82
X: 1262.80, Y: 2674.48
X: 1263.63, Y: 2672.44
X: 1262.07, Y: 2670.52
X: 1265.57, Y: 2674.11
X: 1263.77, Y: 2677.22
X: 1257.34, Y: 2677.69
X: 1257.58, Y: 2675.10
X: 1257.19, Y: 2676.32
X: 1248.84, Y: 2672.09
X: 1248.26, Y: 2674.26
X: 1228.54, Y: 2635.59
X: 1208.54, Y: 2629.52
X: 1208.54, Y: 2626.61
X: 1205.64, Y: 2627.98
X: 1206.19, Y: 2629.28
X: 1203.07, Y: 2630.13
X: 1204.82, Y: 2633.26
X: 1207.76, Y: 2632.56
X: 1208.30, Y: 2628.81
X: 1208.05, Y: 2633.16
X: 1211.99, Y: 2632.47
X: 1241.78, Y: 2606.88
X: 1247.93, Y: 2612.44
X: 1245.07, Y: 2606.54
X: 1241.24, Y: 2607.33
X: 1245.82, Y: 2603.28
X: 1243.67, Y: 2597.81
X: 1241.60, Y: 2597.19
X: 1240.92, Y: 2595.44
X: 1242.41, Y: 2596.95
X: 1239.38, Y: 2597.71
X: 1240.17, Y: 2596.82
X: 1241.05, Y: 2597.98
X: 1242.35, Y: 2598.82
X: 1241.06, Y: 2598.25
X: 1238.20, Y: 2593.75
X: 1209.25, Y: 2561.80
X: 1217.53, Y: 2552.16
X: 1212.22, Y: 2546.89
X: 1209.91, Y: 2545.64
X: 1208.63, Y: 2544.50
X: 1206.42, Y: 2545.54
X: 1203.28, Y: 2542.11
X: 1205.05, Y: 2540.02
X: 1202.86, Y: 2539.93
X: 1201.83, Y: 2538.18
X: 1201.81, Y: 2537.39
X: 1202.44, Y: 2537.79
X: 1202.75, Y: 2542.44
X: 1205.76, Y: 2543.53
X: 1206.28, Y: 2544.97
X: 1209.61, Y: 2545.06
X: 1235.61, Y: 2559.63
X: 1236.13, Y: 2561.29
X: 1234.54, Y: 2559.24
X: 1240.20, Y: 2564.10
X: 1239.85, Y: 2567.08
X: 1241.30, Y: 2567.84
X: 1245.71, Y: 2562.94
X: 1245.72, Y: 2563.77
X: 1244.40, Y: 2561.05
X: 1246.40, Y: 2557.42
X: 1253.84, Y: 2558.76
X: 1251.62, Y: 2557.47
X: 1251.68, Y: 2558.42
X: 1249.72, Y: 2558.07
X: 1253.70, Y: 2558.49
X: 1233.53, Y: 2524.06
X: 1230.57, Y: 2520.97
X: 1229.98, Y: 2519.51
X: 1228.09, Y: 2520.03
X: 1227.64, Y: 2519.60
X: 1235.87, Y: 2520.88
X: 1234.26, Y: 2519.46
X: 1234.93, Y: 2519.66
X: 1233.29, Y: 2517.81
X: 1231.69, Y: 2517.30
X: 1232.87, Y: 2518.09
X: 1230.10, Y: 2515.18
X: 1232.94, Y: 2515.47
X: 1231.32, Y: 2511.41
X: 1233.38, Y: 2515.18
X: 1230.31, Y: 2513.68
X: 1212.82, Y: 2498.36
X: 1197.08, Y: 2488.50
X: 1194.41, Y: 2489.20
X: 1196.77, Y: 2490.70
X: 1192.63, Y: 2492.60
X: 1189.14, Y: 2489.00
X: 1188.59, Y: 2484.76
X: 1189.35, Y: 2483.94
X: 1188.23, Y: 2482.57
X: 1189.20, Y: 2486.03
X: 1186.66, Y: 2485.83
X: 1192.10, Y: 2485.58
X: 1140.11, Y: 2366.45
X: 1146.42, Y: 2350.48
X: 1148.49, Y: 2334.15
X: 1148.70, Y: 2316.84
X: 1155.58, Y: 2298.74
X: 1147.81, Y: 2270.80
