X: 1224.17, Y: 2718.34
X: 1233.64, Y: 2703.01
X: 1235.56, Y: 2700.71
X: 1236.63, Y: 2699.52
X: 1237.20, Y: 2698.99
X: 1248.59, Y: 2687.74
X: 1255.91, Y: 2680.87
X: 1260.46, Y: 2676.75
X: 1263.28, Y: 2674.29
X: 1265.01, Y: 2672.81
X: 1266.07, Y: 2671.95
X: 1266.69, Y: 2671.46
X: 1267.03, Y: 2671.23
X: 1267.18, Y: 2671.16
X: 1267.21, Y: 2671.20
X: 1267.14, Y: 2671.32
X: 1267.01, Y: 2671.49
X: 1266.83, Y: 2671.70
X: 1266.62, Y: 2671.94
X: 1266.38, Y: 2672.21
X: 1258.84, Y: 2667.75
X: 1252.37, Y: 2664.03
X: 1246.79, Y: 2660.93
X: 1241.98, Y: 2658.38
X: 1237.83, Y: 2656.28
X: 1234.26, Y: 2654.59
X: 1231.20, Y: 2653.24
X: 1228.58, Y: 2652.18
X: 1226.36, Y: 2651.39
X: 1224.50, Y: 2650.82
X: 1222.96, Y: 2650.44
X: 1221.69, Y: 2650.22
X: 1220.67, Y: 2650.14
X: 1219.88, Y: 2650.17
X: 1219.27, Y: 2650.29
X: 1218.84, Y: 2650.48
X: 1212.34, Y: 2652.63
X: 1206.56, Y: 2654.64
X: 1201.46, Y: 2656.48
X: 1196.98, Y: 2658.17
X: 1193.09, Y: 2659.71
X: 1189.75, Y: 2661.09
X: 1186.90, Y: 2662.32
X: 1184.51, Y: 2663.41
X: 1182.54, Y: 2664.37
X: 1180.94, Y: 2665.20
X: 1179.68, Y: 2665.91
X: 1178.71, Y: 2666.52
X: 1178.01, Y: 2667.02
X: 1177.54, Y: 2667.44
X: 1177.26, Y: 2667.77
X: 1176.91, Y: 2662.07
X: 1176.74, Y: 2656.98
X: 1176.72, Y: 2652.46
X: 1176.83, Y: 2648.48
X: 1177.05, Y: 2645.01
X: 1177.35, Y: 2642.02
X: 1177.73, Y: 2639.46
X: 1178.15, Y: 2637.30
X: 1178.61, Y: 2635.50
X: 1179.10, Y: 2634.03
X: 1179.59, Y: 2632.84
X: 1175.63, Y: 2640.70
X: 1172.09, Y: 2647.81
X: 1168.95, Y: 2654.19
X: 1166.18, Y: 2659.87
X: 1163.77, Y: 2664.87
X: 1161.69, Y: 2669.24
X: 1159.91, Y: 2673.02
X: 1158.40, Y: 2676.26
X: 1157.15, Y: 2679.00
X: 1156.11, Y: 2681.29
X: 1155.28, Y: 2683.18
X: 1154.63, Y: 2684.70
