X: 1183.34, Y: 2509.51
X: 1128.87, Y: 2547.92
X: 1127.69, Y: 2549.52
X: 1128.94, Y: 2549.88
X: 1129.33, Y: 2549.95
X: 1129.49, Y: 2549.97
X: 1129.54, Y: 2549.98
X: 1129.56, Y: 2549.98
X: 1129.57, Y: 2549.99
X: 1129.57, Y: 2549.99
X: 1129.57, Y: 2549.99
X: 1129.57, Y: 2549.99
X: 1129.57, Y: 2549.99
X: 1129.57, Y: 2549.99
X: 1129.57, Y: 2549.99
X: 1328.97, Y: 2522.66
X: 1330.66, Y: 2525.86
X: 1330.19, Y: 2525.62
X: 1329.86, Y: 2525.44
X: 1329.69, Y: 2525.32
X: 1329.59, Y: 2525.25
X: 1329.54, Y: 2525.21
X: 1329.51, Y: 2525.19
X: 1329.50, Y: 2525.17
X: 1329.49, Y: 2525.16
X: 1329.48, Y: 2525.16
X: 1329.48, Y: 2525.16
X: 1329.47, Y: 2525.15
X: 1329.47, Y: 2525.15
X: 1329.47, Y: 2525.15
X: 1114.34, Y: 2533.93
X: 1105.28, Y: 2539.01
X: 1105.58, Y: 2538.92
X: 1106.04, Y: 2538.63
X: 1106.35, Y: 2538.45
X: 1106.54, Y: 2538.33
X: 1106.65, Y: 2538.26
X: 1106.71, Y: 2538.23
X: 1106.75, Y: 2538.20
X: 1106.77, Y: 2538.19
X: 1106.79, Y: 2538.18
X: 1106.80, Y: 2538.18
X: 1106.80, Y: 2538.17
X: 1106.80, Y: 2538.17
X: 1106.80, Y: 2538.17
X: 1106.80, Y: 2538.17
X: 1090.49, Y: 2532.05
X: 1089.89, Y: 2532.17
X: 1089.93, Y: 2532.18
X: 1089.98, Y: 2532.17
X: 1090.01, Y: 2532.16
X: 1090.03, Y: 2532.16
X: 1090.04, Y: 2532.15
X: 1090.04, Y: 2532.15
X: 1090.04, Y: 2532.15
X: 1090.05, Y: 2532.15
X: 1090.05, Y: 2532.15
X: 1090.05, Y: 2532.15
X: 1090.05, Y: 2532.15
X: 1090.05, Y: 2532.15
X: 1090.05, Y: 2532.15
X: 1055.29, Y: 2498.91
X: 1108.61, Y: 2581.58
X: 1108.10, Y: 2582.48
X: 1108.22, Y: 2582.43
X: 1108.31, Y: 2582.38
X: 1108.36, Y: 2582.35
X: 1108.39, Y: 2582.33
X: 1108.40, Y: 2582.32
X: 1108.41, Y: 2582.31
X: 1108.42, Y: 2582.31
X: 1108.42, Y: 2582.30
X: 1108.42, Y: 2582.30
X: 1247.44, Y: 2572.85
X: 1249.40, Y: 2573.99
X: 1249.04, Y: 2573.95
X: 1248.80, Y: 2573.90
X: 1248.66, Y: 2573.86
X: 1248.59, Y: 2573.84
X: 1248.55, Y: 2573.83
X: 1248.52, Y: 2573.82
X: 1248.51, Y: 2573.82
X: 1248.50, Y: 2573.81
X: 1248.50, Y: 2573.81
X: 1248.49, Y: 2573.81
X: 1248.49, Y: 2573.81
X: 1248.49, Y: 2573.81
X: 1248.49, Y: 2573.81
X: 1248.49, Y: 2573.81
X: 1044.98, Y: 2549.26
X: 1039.43, Y: 2553.52
X: 1039.56, Y: 2553.44
X: 1039.80, Y: 2553.24
X: 1039.97, Y: 2553.10
X: 1040.07, Y: 2553.02
X: 1040.13, Y: 2552.97
X: 1040.17, Y: 2552.94
X: 1040.19, Y: 2552.92
X: 1040.20, Y: 2552.91
X: 1040.21, Y: 2552.91
X: 1040.21, Y: 2552.90
X: 1040.22, Y: 2552.90
X: 1040.22, Y: 2552.90
X: 1040.22, Y: 2552.90
X: 1061.72, Y: 2533.78
X: 1062.84, Y: 2532.90
X: 1062.76, Y: 2532.96
X: 1062.67, Y: 2533.03
X: 1062.61, Y: 2533.07
X: 1062.58, Y: 2533.10
X: 1062.56, Y: 2533.11
X: 1062.55, Y: 2533.12
