X: 974.55, Y: 2508.60
X: 926.39, Y: 2546.64
X: 924.74, Y: 2547.66
X: 924.69, Y: 2547.69
X: 924.69, Y: 2547.69
X: 924.69, Y: 2547.69
X: 924.70, Y: 2547.69
X: 924.70, Y: 2547.69
X: 924.70, Y: 2547.69
X: 931.43, Y: 2548.24
X: 928.88, Y: 2547.94
X: 928.15, Y: 2547.94
X: 927.92, Y: 2547.94
X: 927.84, Y: 2547.94
X: 927.82, Y: 2547.93
X: 996.22, Y: 2683.61
X: 993.63, Y: 2682.83
X: 994.26, Y: 2682.98
X: 994.55, Y: 2683.03
X: 994.72, Y: 2683.06
X: 994.82, Y: 2683.08
X: 994.88, Y: 2683.09
X: 994.91, Y: 2683.10
X: 994.93, Y: 2683.10
X: 994.94, Y: 2683.11
X: 994.95, Y: 2683.11
X: 994.95, Y: 2683.11
X: 994.96, Y: 2683.11
X: 994.96, Y: 2683.11
X: 994.96, Y: 2683.11
X: 994.96, Y: 2683.11
X: 986.89, Y: 2616.71
X: 988.31, Y: 2615.05
X: 988.29, Y: 2615.17
X: 988.21, Y: 2615.29
X: 988.16, Y: 2615.36
X: 988.12, Y: 2615.40
X: 988.10, Y: 2615.43
X: 988.09, Y: 2615.45
X: 988.09, Y: 2615.46
X: 988.08, Y: 2615.46
X: 988.08, Y: 2615.46
X: 988.08, Y: 2615.47
X: 988.08, Y: 2615.47
X: 988.08, Y: 2615.47
X: 988.08, Y: 2615.47
X: 1106.52, Y: 2586.56
X: 1109.35, Y: 2585.39
X: 1109.00, Y: 2585.52
X: 1108.72, Y: 2585.63
X: 1108.56, Y: 2585.69
X: 1108.47, Y: 2585.73
X: 1108.41, Y: 2585.75
X: 1108.38, Y: 2585.77
X: 1108.36, Y: 2585.77
X: 1108.35, Y: 2585.78
X: 1108.35, Y: 2585.78
X: 1108.34, Y: 2585.78
X: 1108.34, Y: 2585.78
X: 1108.34, Y: 2585.78
X: 1108.34, Y: 2585.78
X: 1101.31, Y: 2606.69
X: 1107.49, Y: 2622.89
X: 1102.25, Y: 2614.05
X: 1102.02, Y: 2613.69
X: 1102.03, Y: 2613.65
X: 1102.04, Y: 2613.64
X: 1102.05, Y: 2613.63
X: 1102.06, Y: 2613.62
X: 1102.06, Y: 2613.62
X: 1102.06, Y: 2613.61
X: 1102.06, Y: 2613.61
X: 1102.06, Y: 2613.61
X: 1102.06, Y: 2613.61
X: 1102.06, Y: 2613.61
X: 1102.06, Y: 2613.61
X: 1048.58, Y: 2584.34
