X: 1170.35, Y: 2658.29
X: 1185.77, Y: 2641.78
X: 1189.65, Y: 2638.52
X: 1190.97, Y: 2637.64
X: 1190.67, Y: 2637.97
X: 1190.61, Y: 2638.05
X: 1190.62, Y: 2638.06
X: 1190.64, Y: 2638.06
X: 1190.67, Y: 2638.05
X: 1196.53, Y: 2645.10
X: 1201.25, Y: 2650.74
X: 1205.13, Y: 2655.35
X: 1208.35, Y: 2659.16
X: 1211.03, Y: 2662.32
X: 1213.27, Y: 2664.96
X: 1215.14, Y: 2667.16
X: 1216.71, Y: 2669.00
X: 1218.02, Y: 2670.53
X: 1219.12, Y: 2671.81
X: 1220.03, Y: 2672.88
X: 1220.78, Y: 2673.77
X: 1221.41, Y: 2674.51
X: 1221.92, Y: 2675.12
X: 1222.35, Y: 2675.63
X: 1220.60, Y: 2674.99
X: 1219.00, Y: 2674.39
X: 1217.54, Y: 2673.83
X: 1216.21, Y: 2673.30
X: 1214.99, Y: 2672.80
X: 1213.87, Y: 2672.33
X: 1212.85, Y: 2671.89
X: 1211.91, Y: 2671.47
X: 1211.04, Y: 2671.08
X: 1210.24, Y: 2670.71
X: 1209.51, Y: 2670.37
X: 1208.83, Y: 2670.04
X: 1208.20, Y: 2669.73
X: 1207.62, Y: 2669.44
X: 1207.08, Y: 2669.16
X: 1206.58, Y: 2668.90
X: 1204.14, Y: 2664.57
X: 1201.88, Y: 2660.57
X: 1199.78, Y: 2656.86
X: 1197.84, Y: 2653.42
X: 1196.04, Y: 2650.23
X: 1194.36, Y: 2647.27
X: 1192.81, Y: 2644.51
X: 1191.36, Y: 2641.95
X: 1190.01, Y: 2639.56
X: 1188.75, Y: 2637.33
X: 1187.58, Y: 2635.26
X: 1186.48, Y: 2633.32
X: 1185.46, Y: 2631.50
X: 1184.51, Y: 2629.81
X: 1183.62, Y: 2628.23
X: 1183.13, Y: 2625.95
X: 1182.68, Y: 2623.81
X: 1182.26, Y: 2621.80
X: 1181.87, Y: 2619.91
X: 1181.50, Y: 2618.13
X: 1181.17, Y: 2616.47
X: 1180.85, Y: 2614.90
X: 1181.26, Y: 2614.99
X: 1181.65, Y: 2615.08
X: 1182.03, Y: 2615.18
X: 1182.39, Y: 2615.29
X: 1182.74, Y: 2615.40
X: 1182.55, Y: 2614.32
X: 1182.47, Y: 2613.44
X: 1182.48, Y: 2612.75
X: 1182.57, Y: 2612.25
X: 1183.73, Y: 2614.29
X: 1184.96, Y: 2616.49
X: 1186.22, Y: 2618.79
X: 1187.49, Y: 2621.14
X: 1188.77, Y: 2623.52
X: 1190.03, Y: 2625.89
X: 1191.26, Y: 2628.22
X: 1192.47, Y: 2630.50
X: 1193.62, Y: 2632.71
X: 1194.74, Y: 2634.84
X: 1195.80, Y: 2636.88
X: 1196.81, Y: 2638.82
X: 1197.77, Y: 2640.67
X: 1198.68, Y: 2642.43
X: 1199.54, Y: 2644.09
X: 1199.34, Y: 2645.56
X: 1199.14, Y: 2646.94
X: 1198.95, Y: 2648.24
X: 1198.77, Y: 2649.47
X: 1198.60, Y: 2650.62
X: 1198.43, Y: 2651.70
X: 1198.27, Y: 2652.71
X: 1198.12, Y: 2653.66
X: 1197.97, Y: 2654.55
X: 1197.83, Y: 2655.38
X: 1197.70, Y: 2656.16
X: 1197.57, Y: 2656.89
X: 1197.44, Y: 2657.57
X: 1197.30, Y: 2657.97
X: 1197.17, Y: 2658.34
X: 1197.04, Y: 2658.48
X: 1196.18, Y: 2659.00
X: 1195.42, Y: 2659.47
X: 1194.74, Y: 2659.89
X: 1194.12, Y: 2660.27
X: 1193.56, Y: 2660.62
X: 1193.05, Y: 2660.93
X: 1192.58, Y: 2661.22
X: 1192.15, Y: 2661.50
X: 1191.75, Y: 2661.75
X: 1191.38, Y: 2661.99
X: 1191.04, Y: 2662.21
X: 1190.71, Y: 2662.42
X: 1190.42, Y: 2662.61
X: 1190.13, Y: 2662.80
X: 1189.87, Y: 2662.97
X: 1189.87, Y: 2662.07
X: 1189.86, Y: 2661.22
X: 1189.85, Y: 2660.43
X: 1189.85, Y: 2659.67
X: 1189.84, Y: 2658.96
X: 1189.84, Y: 2658.29
X: 1189.83, Y: 2657.65
X: 1189.83, Y: 2657.04
X: 1189.82, Y: 2656.46
X: 1189.81, Y: 2655.91
X: 1189.81, Y: 2655.38
X: 1189.80, Y: 2654.88
X: 1189.80, Y: 2654.40
X: 1189.79, Y: 2653.94
X: 1189.79, Y: 2653.50
X: 1189.78, Y: 2653.08
X: 1189.09, Y: 2653.63
X: 1188.43, Y: 2654.16
X: 1187.79, Y: 2654.67
X: 1187.18, Y: 2655.16
X: 1186.59, Y: 2655.63
X: 1186.02, Y: 2656.09
X: 1185.47, Y: 2656.53
X: 1184.88, Y: 2657.02
X: 1184.36, Y: 2657.44
X: 1183.85, Y: 2657.84
X: 1183.37, Y: 2658.23
X: 1182.89, Y: 2658.61
X: 1182.42, Y: 2658.99
X: 1181.98, Y: 2659.34
X: 1181.56, Y: 2659.68
X: 1181.67, Y: 2659.82
X: 1181.77, Y: 2659.95
