X: 1248.04, Y: 2720.22
X: 1266.18, Y: 2699.87
X: 1269.08, Y: 2697.45
X: 1270.54, Y: 2696.25
X: 1271.52, Y: 2695.48
X: 1272.18, Y: 2695.01
X: 1272.59, Y: 2694.75
X: 1272.82, Y: 2694.63
X: 1270.93, Y: 2692.37
X: 1269.51, Y: 2690.83
X: 1268.45, Y: 2689.78
X: 1267.68, Y: 2689.09
X: 1267.11, Y: 2688.63
X: 1266.69, Y: 2688.35
X: 1266.40, Y: 2688.18
X: 1266.18, Y: 2688.10
X: 1266.04, Y: 2688.08
X: 1265.94, Y: 2688.10
X: 1265.88, Y: 2688.15
X: 1265.85, Y: 2688.22
X: 1265.83, Y: 2688.30
X: 1265.84, Y: 2688.39
X: 1265.85, Y: 2688.48
X: 1265.88, Y: 2688.57
X: 1269.61, Y: 2672.16
X: 1272.71, Y: 2659.28
X: 1275.27, Y: 2649.25
X: 1277.38, Y: 2641.51
X: 1279.11, Y: 2635.62
X: 1280.49, Y: 2631.21
X: 1281.60, Y: 2627.97
X: 1282.46, Y: 2625.67
X: 1283.12, Y: 2624.11
X: 1283.61, Y: 2623.11
X: 1283.96, Y: 2622.56
X: 1284.20, Y: 2622.34
X: 1284.34, Y: 2622.36
X: 1284.41, Y: 2622.56
X: 1284.43, Y: 2622.89
X: 1278.04, Y: 2630.40
X: 1272.78, Y: 2636.49
X: 1268.48, Y: 2641.40
X: 1264.99, Y: 2645.32
X: 1262.18, Y: 2648.44
X: 1259.95, Y: 2650.89
X: 1258.19, Y: 2652.79
X: 1256.83, Y: 2654.26
X: 1255.81, Y: 2655.37
X: 1255.05, Y: 2656.20
X: 1254.51, Y: 2656.79
X: 1254.14, Y: 2657.21
X: 1253.92, Y: 2657.49
X: 1253.80, Y: 2657.65
X: 1253.78, Y: 2657.74
X: 1253.81, Y: 2657.76
X: 1251.51, Y: 2656.88
X: 1249.69, Y: 2656.16
X: 1248.27, Y: 2655.58
X: 1247.18, Y: 2655.10
X: 1246.37, Y: 2654.71
X: 1245.78, Y: 2654.39
X: 1255.41, Y: 2650.18
X: 1263.34, Y: 2646.82
X: 1269.83, Y: 2644.17
X: 1275.08, Y: 2642.09
X: 1279.29, Y: 2640.48
X: 1282.63, Y: 2639.25
X: 1285.25, Y: 2638.33
X: 1289.40, Y: 2636.72
X: 1291.90, Y: 2635.92
X: 1293.07, Y: 2635.69
X: 1290.34, Y: 2638.41
X: 1287.87, Y: 2640.54
X: 1285.79, Y: 2642.14
X: 1284.09, Y: 2643.31
X: 1282.72, Y: 2644.15
X: 1281.63, Y: 2644.74
X: 1280.77, Y: 2645.14
X: 1280.10, Y: 2645.40
X: 1279.60, Y: 2645.55
X: 1279.23, Y: 2645.63
X: 1278.97, Y: 2645.65
X: 1278.79, Y: 2645.64
X: 1278.69, Y: 2645.60
X: 1278.63, Y: 2645.55
X: 1278.61, Y: 2645.50
X: 1262.30, Y: 2653.40
X: 1249.70, Y: 2659.35
X: 1240.21, Y: 2663.70
X: 1233.29, Y: 2666.76
X: 1228.46, Y: 2668.81
X: 1225.28, Y: 2670.09
X: 1223.38, Y: 2670.79
X: 1224.11, Y: 2670.36
X: 1225.29, Y: 2669.78
X: 1226.10, Y: 2669.39
X: 1226.68, Y: 2669.12
X: 1227.11, Y: 2668.92
X: 1227.44, Y: 2668.77
X: 1227.70, Y: 2668.65
X: 1227.84, Y: 2668.58
X: 1228.03, Y: 2668.50
X: 1238.08, Y: 2662.26
X: 1246.41, Y: 2657.23
X: 1253.33, Y: 2653.15
X: 1259.09, Y: 2649.85
X: 1263.90, Y: 2647.16
X: 1267.92, Y: 2644.97
X: 1271.28, Y: 2643.18
X: 1274.09, Y: 2641.73
X: 1276.45, Y: 2640.53
X: 1278.42, Y: 2639.56
X: 1280.06, Y: 2638.76
X: 1281.45, Y: 2638.11
X: 1282.71, Y: 2637.48
X: 1283.69, Y: 2637.05
X: 1284.51, Y: 2636.70
X: 1282.15, Y: 2638.10
X: 1280.18, Y: 2639.24
X: 1278.54, Y: 2640.17
X: 1277.16, Y: 2640.93
X: 1276.01, Y: 2641.55
X: 1275.05, Y: 2642.05
X: 1274.25, Y: 2642.47
X: 1273.58, Y: 2642.80
X: 1273.02, Y: 2643.08
X: 1272.55, Y: 2643.31
X: 1272.15, Y: 2643.49
X: 1271.82, Y: 2643.64
X: 1271.55, Y: 2643.77
X: 1271.32, Y: 2643.87
X: 1271.13, Y: 2643.95
X: 1270.97, Y: 2644.02
X: 1262.46, Y: 2650.43
X: 1255.34, Y: 2655.66
X: 1249.39, Y: 2659.93
X: 1244.41, Y: 2663.42
X: 1239.31, Y: 2666.88
X: 1235.81, Y: 2669.20
X: 1232.93, Y: 2671.06
X: 1230.55, Y: 2672.56
X: 1228.58, Y: 2673.78
X: 1226.94, Y: 2674.76
X: 1225.59, Y: 2675.56
X: 1224.46, Y: 2676.20
X: 1223.54, Y: 2676.72
X: 1222.78, Y: 2677.14
X: 1222.14, Y: 2677.48
X: 1232.70, Y: 2678.86
X: 1241.48, Y: 2679.91
X: 1248.78, Y: 2680.71
X: 1254.85, Y: 2681.32
X: 1259.90, Y: 2681.78
X: 1264.10, Y: 2682.12
X: 1267.59, Y: 2682.37
X: 1270.49, Y: 2682.55
X: 1272.91, Y: 2682.68
X: 1274.92, Y: 2682.78
X: 1276.59, Y: 2682.85
X: 1277.99, Y: 2682.90
X: 1279.15, Y: 2682.92
X: 1280.11, Y: 2682.93
X: 1280.91, Y: 2682.94
X: 1281.57, Y: 2682.93
X: 1276.52, Y: 2673.83
X: 1272.34, Y: 2666.50
X: 1268.91, Y: 2660.60
X: 1266.08, Y: 2655.86
X: 1263.75, Y: 2652.06
X: 1261.84, Y: 2649.00
X: 1260.26, Y: 2646.54
X: 1258.66, Y: 2644.11
X: 1257.59, Y: 2642.54
X: 1256.73, Y: 2641.32
X: 1256.04, Y: 2640.35
X: 1255.47, Y: 2639.59
X: 1254.95, Y: 2638.89
X: 1254.62, Y: 2638.48
X: 1254.34, Y: 2638.14
X: 1256.61, Y: 2635.21
X: 1258.52, Y: 2632.85
X: 1260.12, Y: 2630.95
X: 1261.46, Y: 2629.41
X: 1262.59, Y: 2628.17
X: 1263.54, Y: 2627.16
X: 1264.34, Y: 2626.35
X: 1265.01, Y: 2625.69
X: 1265.57, Y: 2625.15
X: 1266.05, Y: 2624.72
X: 1266.45, Y: 2624.37
X: 1266.78, Y: 2624.09
X: 1267.08, Y: 2623.01
X: 1267.33, Y: 2622.96
X: 1267.55, Y: 2622.93
X: 1259.84, Y: 2635.85
X: 1253.44, Y: 2646.23
X: 1248.13, Y: 2654.57
X: 1243.97, Y: 2661.08
X: 1240.57, Y: 2666.24
X: 1237.78, Y: 2670.34
X: 1235.48, Y: 2673.62
X: 1233.48, Y: 2676.32
X: 1231.82, Y: 2678.50
X: 1230.44, Y: 2680.26
X: 1229.29, Y: 2681.69
X: 1228.32, Y: 2682.84
X: 1227.52, Y: 2683.77
X: 1226.85, Y: 2684.53
X: 1226.08, Y: 2685.31
X: 1225.44, Y: 2685.94
X: 1223.38, Y: 2677.95
X: 1221.69, Y: 2671.46
X: 1220.31, Y: 2666.20
X: 1219.19, Y: 2661.94
X: 1218.29, Y: 2658.49
X: 1217.56, Y: 2655.71
X: 1216.97, Y: 2653.47
X: 1216.50, Y: 2651.65
