X: 1173.99, Y: 2548.11
X: 1120.98, Y: 2581.08
X: 1120.18, Y: 2582.76
X: 1121.16, Y: 2583.09
X: 1118.75, Y: 2582.41
X: 1121.82, Y: 2583.27
X: 1121.72, Y: 2583.19
X: 1121.65, Y: 2583.18
X: 1121.62, Y: 2583.17
X: 1121.60, Y: 2583.17
X: 1121.59, Y: 2583.17
X: 1121.59, Y: 2583.17
X: 1027.51, Y: 2581.32
X: 1024.24, Y: 2583.62
X: 1024.30, Y: 2583.59
X: 1024.47, Y: 2583.46
X: 1024.60, Y: 2583.37
X: 1024.68, Y: 2583.31
X: 1024.74, Y: 2583.27
X: 1024.77, Y: 2583.25
X: 1024.80, Y: 2583.23
X: 1024.81, Y: 2583.22
X: 1024.82, Y: 2583.21
X: 1024.83, Y: 2583.21
X: 1024.83, Y: 2583.20
X: 1024.83, Y: 2583.20
X: 1024.84, Y: 2583.20
X: 1024.84, Y: 2583.20
X: 1072.66, Y: 2571.17
X: 1074.37, Y: 2569.82
X: 1074.30, Y: 2569.87
X: 1074.19, Y: 2569.96
X: 1074.11, Y: 2570.02
X: 1074.05, Y: 2570.06
X: 1074.02, Y: 2570.09
X: 1074.00, Y: 2570.11
X: 1073.98, Y: 2570.12
X: 1073.97, Y: 2570.13
X: 1073.97, Y: 2570.13
X: 1073.96, Y: 2570.13
X: 1073.96, Y: 2570.13
X: 1073.96, Y: 2570.14
X: 1073.96, Y: 2570.14
X: 1169.32, Y: 2598.94
X: 1172.09, Y: 2598.88
X: 1171.92, Y: 2598.89
X: 1171.73, Y: 2598.92
X: 1171.60, Y: 2598.94
X: 1171.52, Y: 2598.95
X: 1171.46, Y: 2598.96
X: 1171.43, Y: 2598.97
X: 1171.40, Y: 2598.97
X: 1171.39, Y: 2598.97
X: 1171.38, Y: 2598.97
X: 1171.37, Y: 2598.97
X: 1171.37, Y: 2598.97
X: 1171.37, Y: 2598.98
X: 1171.36, Y: 2598.98
X: 1210.16, Y: 2586.53
X: 1211.56, Y: 2586.09
X: 1211.48, Y: 2586.11
X: 1211.39, Y: 2586.14
X: 1114.34, Y: 2587.31
X: 1110.84, Y: 2589.11
X: 1110.92, Y: 2589.10
X: 1111.08, Y: 2589.01
X: 1111.19, Y: 2588.96
X: 1111.27, Y: 2588.92
X: 1111.32, Y: 2588.89
X: 1111.35, Y: 2588.87
X: 1111.37, Y: 2588.86
X: 1111.39, Y: 2588.86
X: 1111.40, Y: 2588.85
X: 1111.40, Y: 2588.85
X: 1111.41, Y: 2588.85
X: 1111.41, Y: 2588.85
X: 1111.41, Y: 2588.84
X: 1111.41, Y: 2588.84
X: 1124.43, Y: 2602.38
X: 1124.79, Y: 2602.64
X: 1124.77, Y: 2602.62
X: 1124.75, Y: 2602.61
X: 1124.74, Y: 2602.60
X: 1124.73, Y: 2602.59
X: 1124.72, Y: 2602.59
X: 1124.72, Y: 2602.59
X: 1124.71, Y: 2602.58
X: 1124.71, Y: 2602.58
X: 1124.71, Y: 2602.58
X: 1124.71, Y: 2602.58
X: 1124.71, Y: 2602.58
X: 1124.71, Y: 2602.58
X: 1124.71, Y: 2602.58
X: 1043.52, Y: 2525.58
X: 1041.54, Y: 2524.51
X: 1041.68, Y: 2524.64
X: 1041.83, Y: 2524.72
X: 1041.93, Y: 2524.78
X: 1042.00, Y: 2524.81
X: 1042.04, Y: 2524.83
X: 1042.07, Y: 2524.84
X: 1042.08, Y: 2524.85
X: 1042.10, Y: 2524.86
X: 1042.10, Y: 2524.86
X: 1042.11, Y: 2524.87
X: 1042.11, Y: 2524.87
X: 1042.11, Y: 2524.87
X: 1042.11, Y: 2524.87
X: 1042.12, Y: 2524.87
X: 1181.89, Y: 2606.93
X: 1186.75, Y: 2608.91
X: 1186.50, Y: 2608.85
X: 1186.19, Y: 2608.80
X: 1185.98, Y: 2608.75
X: 1185.85, Y: 2608.72
X: 1185.76, Y: 2608.70
X: 1185.70, Y: 2608.69
X: 1188.30, Y: 2609.66
X: 1187.56, Y: 2609.37
X: 1187.29, Y: 2609.27
X: 1182.41, Y: 2607.46
X: 1182.25, Y: 2607.46
X: 1182.25, Y: 2607.46
X: 1182.25, Y: 2607.46
X: 1132.37, Y: 2584.81
X: 1131.21, Y: 2584.98
X: 1131.19, Y: 2585.00
X: 1131.19, Y: 2585.00
X: 1131.19, Y: 2585.00
X: 1131.19, Y: 2585.00
X: 1131.19, Y: 2585.00
X: 1131.19, Y: 2585.00
X: 1131.20, Y: 2585.00
X: 1131.20, Y: 2585.00
X: 1131.20, Y: 2585.00
X: 1131.20, Y: 2585.00
X: 1131.20, Y: 2585.00
X: 1131.20, Y: 2585.00
X: 1131.20, Y: 2585.00
X: 1131.21, Y: 2585.00
X: 1123.73, Y: 2597.88
X: 1123.25, Y: 2598.21
X: 1123.23, Y: 2598.22
